ex   (sp), iy   FDE3   2 
ld   (ix*), a   DD77   3 
ld   (ix*), b   DD70   3 
ld   (ix*), c   DD71   3 
ld   (ix*), d   DD72   3 
ld   (ix*), e   DD73   3 
ld   (ix*), h   DD74   3 
ld   (ix*), l   DD75   3 
ld   (ix*),*    DD36   4 
ld   (iy*), a   FD77   3 
ld   (iy*), b   FD70   3 
ld   (iy*), c   FD71   3 
ld   (iy*), d   FD72   3 
ld   (iy*), e   FD73   3 
ld   (iy*), h   FD74   3 
ld   (iy*), l   FD75   3 
ld   (iy*),*    FD36   4 
otdr            EDBB   2 
otir            EDB3   2 
out  (c), a     ED79   2 
out  (c), b     ED41   2 
out  (c), c     ED49   2 
out  (c), d     ED51   2 
out  (c), e     ED59   2 
out  (c), h     ED61   2 
out  (c), l     ED69   2 
out  (*), a     D3     2 
outd            EDAB   2 
outi            EDA3   2 
res  0, (hl)    CB86   2 
res  1, (hl)    CB8E   2 
res  2, (hl)    CB96   2 
res  3, (hl)    CB9E   2 
res  4, (hl)    CBA6   2 
res  5, (hl)    CBAE   2 
res  6, (hl)    CBB6   2 
res  7, (hl)    CBBE   2 
res  0, (ix*)   DDCB86 4 
res  1, (ix*)   DDCB8E 4 
res  2, (ix*)   DDCB96 4 
res  3, (ix*)   DDCB9E 4 
res  4, (ix*)   DDCBA6 4 
res  5, (ix*)   DDCBAE 4 
res  6, (ix*)   DDCBB6 4 
res  7, (ix*)   DDCBBE 4 
res  0, (iy*)   FDCB86 4 
res  1, (iy*)   FDCB8E 4 
res  2, (iy*)   FDCB96 4 
res  4, (iy*)   FDCBA6 4 
res  5, (iy*)   FDCBAE 4 
res  6, (iy*)   FDCBB6 4 
res  7, (iy*)   FDCBBE 4 
res  0, a       CB87   2 
res  1, a       CB8F   2 
res  2, a       CB97   2 
res  3, a       CB9F   2 
res  4, a       CBA7   2 
res  5, a       CBAF   2 
res  6, a       CBB7   2 
res  7, a       CBBF   2 
res  0, b       CB80   2 
res  1, b       CB88   2 
res  2, b       CB90   2 
res  3, b       CB98   2 
res  4, b       CBA0   2 
res  5, b       CBA8   2 
res  6, b       CBB0   2 
res  7, b       CBB8   2 
res  0, c       CB81   2 
res  1, c       CB89   2 
res  2, c       CB91   2 
res  3, c       CB99   2 
res  4, c       CBA1   2 
res  5, c       CBA9   2 
res  6, c       CBB1   2 
res  7, c       CBB9   2 
res  0, d       CB82   2 
res  1, d       CB8A   2 
res  2, d       CB92   2 
res  3, d       CB9A   2 
res  4, d       CBA2   2 
res  5, d       CBAA   2 
res  6, d       CBB2   2 
res  7, d       CBBA   2 
res  0, e       CB83   2 
res  1, e       CB8B   2 
res  2, e       CB93   2 
res  3, e       CB9B   2 
res  4, e       CBA3   2 
res  5, e       CBAB   2 
res  6, e       CBB3   2 
res  7, e       CBBB   2 
res  0, h       CB84   2 
res  1, h       CB8C   2 
res  2, h       CB94   2 
res  3, h       CB9C   2 
res  4, h       CBA4   2 
res  5, h       CBAC   2 
res  6, h       CBB4   2 
res  7, h       CBBC   2 
res  0, l       CB85   2 
res  1, l       CB8D   2 
res  2, l       CB95   2 
res  3, l       CB9D   2 
res  4, l       CBA5   2 
res  5, l       CBAD   2 
res  6, l       CBB5   2 
res  7, l       CBBD   2 
set  0, (hl)    CBC6   2 
set  1, (hl)    CBCE   2 
set  2, (hl)    CBD6   2 
set  3, (hl)    CBDE   2 
set  4, (hl)    CBE6   2 
set  5, (hl)    CBEE   2 
set  6, (hl)    CBF6   2 
set  7, (hl)    CBFE   2 
set  0, (ix*)   DDCBC6 4 
set  1, (ix*)   DDCBCE 4 
set  2, (ix*)   DDCBD6 4 
set  3, (ix*)   DDCBDE 4 
set  4, (ix*)   DDCBE6 4 
set  5, (ix*)   DDCBEE 4 
set  6, (ix*)   DDCBF6 4 
set  7, (ix*)   DDCBFE 4 
set  0, (iy*)   FDCBC6 4 
set  1, (iy*)   FDCBCE 4 
set  2, (iy*)   FDCBD6 4 
set  4, (iy*)   FDCBE6 4 
set  5, (iy*)   FDCBEE 4 
set  6, (iy*)   FDCBF6 4 
set  7, (iy*)   FDCBFE 4 
set  0, a       CBC7   2 
set  1, a       CBCF   2 
set  2, a       CBD7   2 
set  3, a       CBDF   2 
set  4, a       CBE7   2 
set  5, a       CBEF   2 
set  6, a       CBF7   2 
set  7, a       CBFF   2 
set  0, b       CBC0   2 
set  1, b       CBC8   2 
set  2, b       CBD0   2 
set  3, b       CBD8   2 
set  4, b       CBE0   2 
set  5, b       CBE8   2 
set  6, b       CBF0   2 
set  7, b       CBF8   2 
set  0, c       CBC1   2 
set  1, c       CBC9   2 
set  2, c       CBD1   2 
set  3, c       CBD9   2 
set  4, c       CBE1   2 
set  5, c       CBE9   2 
set  6, c       CBF1   2 
set  7, c       CBF9   2 
set  0, d       CBC2   2 
set  1, d       CBCA   2 
set  2, d       CBD2   2 
set  3, d       CBDA   2 
